standort;jahr;monat;zahlungsbefehle;pfaendungsvollzuege;verwertungen
Arbon;2020;1;1254;722;470
Kreuzlingen;2020;1;888;251;169
Arbon;2020;3;885;459;317
Frauenfeld;2020;3;691;301;301
Steckborn;2020;3;251;135;113
Weinfelden;2020;3;387;143;107
Arbon;2020;4;1679;226;147
Bischofszell;2020;4;467;98;47
Frauenfeld;2020;4;517;212;212
Kreuzlingen;2020;4;879;50;56
Steckborn;2020;4;240;70;45
Frauenfeld;2020;5;656;302;278
Kreuzlingen;2020;5;572;156;82
Weinfelden;2020;5;430;227;180
Arbon;2020;6;1229;851;556
Kreuzlingen;2020;6;783;248;185
Steckborn;2020;6;343;245;177
Bischofszell;2020;7;456;255;184
Münchwilen;2020;7;1073;273;52
Frauenfeld;2020;8;1233;700;652
Steckborn;2020;8;506;242;153
Weinfelden;2020;8;691;287;205
Münchwilen;2020;9;912;539;323
Bischofszell;2020;10;421;285;220
Münchwilen;2020;10;853;447;250
Steckborn;2020;10;376;259;198
Arbon;2020;11;1267;880;569
Frauenfeld;2020;11;816;526;482
Weinfelden;2020;11;598;260;195
Bischofszell;2020;12;357;178;106
Münchwilen;2020;12;623;301;152
Weinfelden;2020;12;423;182;130
Arbon;2021;1;1211;702;494
Frauenfeld;2021;1;753;472;411
Arbon;2021;2;1004;696;379
Münchwilen;2021;2;649;318;153
Weinfelden;2021;2;457;207;131
Arbon;2021;3;1566;840;566
Bischofszell;2021;3;601;203;151
Kreuzlingen;2021;3;1174;395;256
Münchwilen;2021;4;810;365;240
Steckborn;2021;4;295;170;136
Arbon;2021;5;1624;704;468
Bischofszell;2021;5;502;326;279
Frauenfeld;2021;6;1237;571;386
Münchwilen;2021;6;1109;596;378
Weinfelden;2021;6;695;348;279
Arbon;2021;7;1250;595;380
Bischofszell;2021;8;450;339;275
Münchwilen;2021;8;884;587;390
Steckborn;2021;9;344;188;99
Weinfelden;2021;9;564;312;247
Arbon;2021;10;1077;814;518
Bischofszell;2021;10;349;258;159
Münchwilen;2021;10;751;422;252
